question_id,item,construct
rsq001,The situation is potentially enjoyable.,rsq
rsq002,The situation is complex.,rsq
rsq003,A job needs to be done.,rsq
rsq004,Someone is trying to impress you.,rsq
rsq005,Someone is trying to convince you of something.,rsq
rsq006,Someone is counting on you to do something.,rsq
rsq007,Talking is permitted.,rsq
rsq008,Talking is expected or demanded.,rsq
rsq009,Someone is asking you for something.,rsq
rsq010,Someone needs help.,rsq
rsq011,Minor details are important.,rsq
rsq012,Politics are relevant,rsq
rsq013,Intelligence is important,rsq
rsq014,It is not clear what is going on; the situation is uncertain.,rsq
rsq015,Someone is under threat.,rsq
rsq016,Someone is criticizing you,rsq
rsq017,Someone is attempting to dominate or boss you.,rsq
rsq018,The situation is playful.,rsq
rsq019,The situation is rapidly changing,rsq
rsq020,Someone is unhappy or suffering.,rsq
rsq021,A reassuring person is present.,rsq
rsq022,Someone is blaming you for something.,rsq
rsq023,A decision needs to be made.,rsq
rsq024,Self-control is necessary,rsq
rsq025,People are competing with each other.,rsq
rsq026,Someone needs or desires reassurance.,rsq
rsq027,The situation is frustrating,rsq
rsq028,Your physical attractiveness is important.,rsq
rsq029,It is important for you to make a good impression.,rsq
rsq030,The situation could make people tense and upset.,rsq
rsq031,The situation includes small annoyances.,rsq
rsq032,The situation could make people feel hostile.,rsq
rsq033,People are disagreeing about something.,rsq
rsq034,Unusual ideas or points of view are being discussed freely.,rsq
rsq035,Physical threats are present.,rsq
rsq036,Emotional threats are present.,rsq
rsq037,Moral or ethical issues are relevant.,rsq
rsq038,Quick action is necessary.,rsq
rsq039,Emotions can be expressed.,rsq
rsq040,"It is possible to ruminate, daydream or fantasize.",rsq
rsq041,The situation is noisy,rsq
rsq042,The people who are present have close personal relationships with each other.,rsq
rsq043,Someone present (other than you) is counted on to do something.,rsq
rsq044,The situation could be intellectually stimulating.,rsq
rsq045,Assertiveness is required to accomplish a goal.,rsq
rsq046,Desires could be gratified,rsq
rsq047,Social interaction is possible.,rsq
rsq048,The situation is humorous or potentially humorous.,rsq
rsq049,You are the focus of attention.,rsq
rsq050,Sensations are important,rsq
rsq051,The situation is relevant to your health,rsq
rsq052,Clear rules define appropriate behavior,rsq
rsq053, Someone is breaking rules.,rsq
rsq054,Art is an important part of the situation.,rsq
rsq055,The situation is potentially anxiety-inducing.,rsq
rsq056,Ambition can be expressed or demonstrated.,rsq
rsq057,The situation could make you feel inadequate.,rsq
rsq058,Sexuality is relevant.,rsq
rsq059,You are being abused or victimized.,rsq
rsq060,The presence of members of the opposite sex is an important part of this situation.,rsq
rsq061,Potential or actual romantic partners (for you) are present.,rsq
rsq062,The situation is simple and clear-cut.,rsq
rsq063,People are comparing themselves to each other.,rsq
rsq064,Power is important.,rsq
rsq065,Masculinity can be expressed.,rsq
rsq066,Others want advice from you.,rsq
rsq067,The situation could arouse positive emotions.,rsq
rsq068,The situation could arouse negative emotions.,rsq
rsq069,There are opportunities to display verbal fluency,rsq
rsq070,People who are present occupy different social roles or levels of status.,rsq
rsq071,You are being pressured to conform to the actions of others.,rsq
rsq072,Success requires cooperation.,rsq
rsq073,Someone is complimenting or praising you.,rsq
rsq074,Femininity can be expressed.,rsq
rsq075,Religion is relevant in this situation,rsq
rsq076,Someone needs to be taken care of.,rsq
rsq077,Many things are happening at once.,rsq
rsq078,People are being physically active.,rsq
rsq079,People are working hard.,rsq
rsq080,Food is important in this situation.,rsq
rsq081,The situation is physically uncomfortable,rsq
rsq082,Family is important in this situation.,rsq
rsq083,A matter of honor is at stake.,rsq
rsq084,Money is important.,rsq
rsq085,People are participating in athletics or sports.,rsq
rsq086,Someone is feeling shame.,rsq
rsq087,Music is an important part of this situation.,rsq
rsq088,New relationships could develop.,rsq
rsq089,It is important for people to get along.,rsq
rsq090,Entertainment is present.,rsq
